"","Year","Area","Session","Chair","Title","Authors","Abstract"
"2365",2007,"SIMULATION-BASED SCHEDULING "," Simulation-Based Scheduling Algorithms","Edward Williams (University of Michigan Dearborn)","Stochastic Rollout and Justification to Solve the Resource-Constrained Project Scheduling Problem","Ningxiong Xu and Linda Nozick (Cornell University) and Orr Bernstein and Dean Jones (Sandia National Labs)","NA"
"2366",2007,"SIMULATION-BASED SCHEDULING "," Simulation-Based Scheduling Algorithms","Edward Williams (University of Michigan Dearborn)","Online Multiobjective Single Machine Dynamic Scheduling with Sequence-dependent Setups Using Simulation-based Genetic Algorithm with Desirability Function","Adeline T. H. Ang and Appa Iyer Sivakumar (Nanyang Technological University)","NA"
"2367",2007,"SIMULATION-BASED SCHEDULING "," Simulation-Based Scheduling Algorithms","Edward Williams (University of Michigan Dearborn)","A Metaheuristic Algorithm for Simultaneous Simulation Optimization and Applications to Traveling Salesman and Job Shop Scheduling with Due Dates","George Jiri Mejtsky (Simulation Research)","NA"
"2368",2007,"SIMULATION-BASED SCHEDULING "," User Friendliness","Toni Ruohonen (University of Jyvaskyla)","A Web-based Simulation Optimization System for Industrial Scheduling","Marcus Andersson, Henrik Grimm, Anna Persson, and Amos Ng (University of Skovde)","NA"
"2369",2007,"SIMULATION-BASED SCHEDULING "," User Friendliness","Toni Ruohonen (University of Jyvaskyla)","Modeling and Simulation for Customer Driven Manufacturing System Design and Operations Planning","Juhani Heilala and Jari Montonen (VTT Technical Research Centre of Finland), Arttu Salmela (Raute Corporation) and Pasi Jarvenpaa (Sandvik Mining and Construction Finland Oy)","NA"
"2370",2007,"SIMULATION-BASED SCHEDULING "," User Friendliness","Toni Ruohonen (University of Jyvaskyla)","Simulation Improves End-of-line Sortation and Material Handling Pickup Scheduling at Appliance Manufacturer","Edward J. Williams (PMC), Onur M. Ulgen (University of Michigan - Dearborn) and Marcelo C. Zottolo and Neelesh Kale (PMC)","NA"
"2371",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Information Modeling for Supply Chain Simulation","Christian Almeder (University of Vienna)","An Object-oriented Framework for Simulating Full Truckload Transportation Networks","Manuel Rossetti and Shikha Nangia (University of Arkansas)","NA"
"2372",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Information Modeling for Supply Chain Simulation","Christian Almeder (University of Vienna)","Assessing Tram Schedules Using a Library of Simulation Components","Elisangela Mieko Kanacilo and Alexander Verbraeck (Delft University of Technology)","NA"
"2373",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Information Modeling for Supply Chain Simulation","Christian Almeder (University of Vienna)","Supply Chain Simulation Modeling Made Easy: An Innovative Approach","Dayana Cope, Mohamed Sam Fayez, Mansooreh Mollaghasemi, and Assem Kaylani (Productivity Apex, Inc.)","NA"
"2374",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," New Modeling Methods: Agent, Grid and Multi-Fidelity","William Sawaya (Cornell University)","Simulating Air Traffic Blockage Due to Convective Weather Conditions","Liling Ren (Georgia Institute of Technology), Dawei Chang and Senay Solak (Southern Polytechnic State University) and John-Paul B. Clarke, Earl Barnes, and Ellis Johnson (Georgia Institute of Technology)","NA"
"2375",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," New Modeling Methods: Agent, Grid and Multi-Fidelity","William Sawaya (Cornell University)","Towards a User-centred Road Safety Management Method Based on Road Traffic Simulation","Andreas Gregoriades (University of Cyprus)","NA"
"2376",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," New Modeling Methods: Agent, Grid and Multi-Fidelity","William Sawaya (Cornell University)","DDDAS-based Multi-fidelity Simulation for Online Preventive Maintenance Scheduling in Semiconductor Supply Chain","Nurcin Koyuncu, Seungho Lee, Karthik K. Vasudevan, Parag Sarfare, and Young-Jun Son (The University of Arizona)","NA"
"2377",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Simulation-Based Supply Chain Optimization","Loo Hay Lee (National University of Singapore)","A Simulation-based Algorithm for Supply Chain Optimization","Takayuki Yoshizumi and Hiroyuki Okano (IBM Research, Tokyo Research Laboratory)","NA"
"2378",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Simulation-Based Supply Chain Optimization","Loo Hay Lee (National University of Singapore)","A Toolbox for Simulation-based Optimization of Supply Chains","Christian Almeder and Margaretha Preusser (University of Vienna)","NA"
"2379",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Simulation-Based Supply Chain Optimization","Loo Hay Lee (National University of Singapore)","IBM Supply-chain Network Optimization Workbench: An Integrated Optimization and Simulation Tool for Supply Chain Design","Hongwei Ding, Wei Wang, Jin Dong, Minmin Qiu, and Changrui Ren (IBM CRL)","NA"
"2380",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Simulation of Complex Supply Chains","Douglas Morrice (University of Texas)","Using Empirical Demand Data and Common Random Numbers in an Agent-based Simulation of a Distribution Network","William J. Sawaya (Cornell University)","NA"
"2381",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Simulation of Complex Supply Chains","Douglas Morrice (University of Texas)","A Comparison of Scheduling Approaches for a Make-to-order Electronics Manufacturer","Susan K. Heath (Naval Postgraduate School) and Douglas J. Morrice (University of Texas at Austin)","NA"
"2382",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Simulation of Complex Supply Chains","Douglas Morrice (University of Texas)","Simulation of Scheduled Ordering Policies in Distribution Supply Chains","Lucy G. Chen (NUS Business School) and Srinagesh Gavirneni (Cornell University)","NA"
"2383",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Supply Chain Modeling and Analysis","Manuel Rossetti (University of Arkansas)","Stability Analysis of the Supply Chain by Using Neural Networks and Genetic Algorithms","Alfonso Sarmiento and Luis Rabelo (University of Central Florida), Reinaldo Moraga (Northern Illinois University) and Ramamoorthy Lakkoju (University of Central Florida)","NA"
"2384",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Supply Chain Modeling and Analysis","Manuel Rossetti (University of Arkansas)","A Supply Chain Paradigm to Model Business Processes at the Y-12 National Security Complex","Reid Leonard Kress, Jack Dixon, Tom Insalaco, and Richard Rinehart (BWXT Y-12)","NA"
"2385",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Supply Chain Modeling and Analysis","Manuel Rossetti (University of Arkansas)","Appraisal of Airport Alternatives in Greenland by the Use of Risk Analysis and Monte Carlo Simulation","Kim Bang Salling and Steen Leleur (Technical University of Denmark)","NA"
"2386",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Container Terminals and Warehouses","Reid Kress (National Nuclear Security Agency)","A Simulation Study on the Uses of Shuttle Carriers in the Container Yard","Loo Hay Lee, Ek Peng Chew, Kok Choon Tan, Huei Chuen Huang, Wenquan Lin, and Yongbin Han (National University of Singapore) and Tian Heong Chan (PSA International Pte Ltd)","NA"
"2387",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Container Terminals and Warehouses","Reid Kress (National Nuclear Security Agency)","A Simulation Model with a Low Level of Detail for Container Terminals and Its Applications","Byung-Hyun Ha (Pusan National Unversity) and Eun-Jung Park and Chan-Hee Lee (Pusan National University)","NA"
"2388",2007,"TRANSPORTATION AND SUPPLY CHAIN APPLICATIONS "," Container Terminals and Warehouses","Reid Kress (National Nuclear Security Agency)","A Simulation Model to Improve Warehouse Operations","Jean Philippe Gagliardi, Jacques Renaud, and Angel Ruiz (Universite Laval)","NA"
"2389",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Integrated Information Management","Janaka Ruwanpura (University of Calgary)","A Message-based Architecture to Enable Runtime User Interaction on Concurrent Simulation-animations of Construction Operations","Prasant Vajallu Rekapalli and Julio Cesar Martinez (Purdue University)","NA"
"2390",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Integrated Information Management","Janaka Ruwanpura (University of Calgary)","Project Planning Using an Interactive Structured Modeling Environment","Ian Flood (University of Florida)","NA"
"2391",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Integrated Information Management","Janaka Ruwanpura (University of Calgary)","Ontology-centered Integration of Project Management, Cost and Resource Modeling with Analysis, Simulation and Visualization: A Case Study of Space Port Operations","Paul A. Fishwick and Zachary Ezzell (University of Florida) and Nabeel M. Yousef, David J. Miranda, Haluk Mustafa Akin, Luis Rabelo, and Jose A. Sepulveda (University of Central Florida)","NA"
"2392",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Integrated Information Management","Janaka Ruwanpura (University of Calgary)","Expecting the Unexpected: Representing, Reasoning About, and Assessing Construction Project Contingencies","G. Ryan Anderson and Nilufer Onder (Michigan Tech) and Amlan Mukherjee (Michigan Technological University)","NA"
"2393",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Analysis of Construction Operations I","Amlan Mukherjee (Michigan Technological University)","Agent-based Simulation for Collaborative Cranes","Cheng Zhang and Amin Hammad (Concordia University)","NA"
"2394",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Analysis of Construction Operations I","Amlan Mukherjee (Michigan Technological University)","Communication and Process Simulation of Set-based Design for Concrete Reinforcement","John-Michael Wong, Kristen Parrish, Iris D. Tommelein, and Bozidar Stojadinovic (University of California, Berkeley)","NA"
"2395",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Analysis of Construction Operations I","Amlan Mukherjee (Michigan Technological University)","Process Flowcharting and Simulation of House Structure Components Production Process","Haitao Yu and Mohamed Al-Hussein (University of Alberta) and Reza Nasseri (Landmark Master Builder Inc.)","NA"
"2396",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Analysis of Construction Operations II","Photios Ioannou (University of Michigan)","Construction Noise Prediction and Barrier Optimization Using Special Purpose Simulation","Anupama Gannoruwa and Janaka Ruwanpura (University of Calgary)","NA"
"2397",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Analysis of Construction Operations II","Photios Ioannou (University of Michigan)","Modeling and Representation of Non-value Adding Activities Due to Errors and Changes in Design and Construction Projects","Sangwon Han (University of Illinois at Urbana-Champaign), SangHyun Lee (University of Alberta) and Mani Golparvar Fard and Feniosky Pena-Mora (University of Illinois at Urbana-Champaign)","NA"
"2398",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Analysis of Construction Operations II","Photios Ioannou (University of Michigan)","Special Purpose Simulation Template for Workflow Analysis in Construction","Sivakumar Palaniappan, Anil Sawhney, and Howard Bashford (Arizona State University) and Kenneth Walsh (San Diego State University)","NA"
"2399",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Resource Analysis and Process Optimization","Ian Flood (University of Florida)","Simulation Tool for Manpower Forecast Loading and Resource Leveling","Mikhail Hanna and Janaka Ruwanpura (University of Calgary)","NA"
"2400",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Resource Analysis and Process Optimization","Ian Flood (University of Florida)","Permutation-based Elitist Genetic Algorithm Using Serial Scheme for Large-sized Resource-constrained Project Scheduling","Jin-Lee Kim (Missouri Western State University)","NA"
"2401",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Modeling and Managing Change","Julio Martinez (Purdue University)","Program Planning Under Uncertainty","Kabeh Vaziri, Paul Carr, and Linda Nozick (Cornell University)","NA"
"2402",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Modeling and Managing Change","Julio Martinez (Purdue University)","Simulation and Uncertainty Modeling of Project Schedules Estimates","Ivan Ourdev, Simaan AbouRizk, and Mohammed Al-Bataineh (University of Alberta)","NA"
"2403",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Modeling and Managing Change","Julio Martinez (Purdue University)","Qualitative Simulation of Construction Performance Using Fuzzy Cognitive Maps","Manjula Dissanayake and Simaan AbouRizk (University of 
Alberta)","NA"
"2404",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Advanced Schedule Analysis","Vineet Kamat (University of Michigan)","Optimal Work Breaks in Deterministic and Probabilistic Repetitive Projects","Photios G. Ioannou and Chachrist Srisuwanrat (University of Michigan)","NA"
"2405",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Advanced Schedule Analysis","Vineet Kamat (University of Michigan)","Optimal Scheduling of Probabilistic Repetitive Projects Using Completed Unit and Genetic Algorithms","Chachrist Srisuwanrat and Photios G. Ioannou (University of Michigan)","NA"
"2406",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Advanced Schedule Analysis","Vineet Kamat (University of Michigan)","Flexible Modeling of Linear Schedules for Integrated Mathematical Analysis","Gunnar Lucko (The Catholic University of America)","NA"
"2407",2007,"CONSTRUCTION ENGINEERING AND PROJECT MANAGEMENT "," Visualization and Interactive Simulation","Mohhamed Al-Hussein (University of Alberta)","Enabling Smooth and Scalable Dynamic 3d Visualization of Discrete-event Construction Simulations in Outdoor Augmented Reality","Amir H. Behzadan and Vineet R. Kamat (University of Michigan)","NA"
"2408",2007,"GENERAL APPLICATIONS "," Special Topics I","D.J. Medeiros (The Pennsylvania State University)","Validation of Simulated Real World TCP Stacks","Sam Jansen and Anthony McGregor (University of Waikato)","NA"
"2409",2007,"GENERAL APPLICATIONS "," Special Topics I","D.J. Medeiros (The Pennsylvania State University)","Effective Workforce Lifecycle Management Via System Dynamics Modeling and Simulation","Lianjun An and Jun-Jang Jeng (IBM T. J. Watson Research Center), Changrui Ren (IBM China Research Laboratory) and Young M. Lee (IBM T. J. Watson Research Center)","NA"
"2410",2007,"GENERAL APPLICATIONS "," Special Topics I","D.J. Medeiros (The Pennsylvania State University)","Parallel Cross-Entropy Optimization","Gareth Evans (University of Queensland), Jonathan Keith (Queensland University of Technology) and Dirk Kroese (University of Queensland)","NA"
"2411",2007,"GENERAL APPLICATIONS "," Business Performance","Richard Wysk (The Pennsylvania State University)","Predicting the Impact on Business Performance of Enhanced Information System Using Business Process Simulation","Yifei Tan and Soemon Takakuwa (Nagoya University)","NA"
"2412",2007,"GENERAL APPLICATIONS "," Business Performance","Richard Wysk (The Pennsylvania State University)","Using Intelligent Agents to Understand Management Practices and Retail Productivity","Peer-Olaf Siebers and Uwe Aickelin (University of Nottingham) and Helen Celia and Chris Clegg (University of Leeds)","NA"
"2413",2007,"GENERAL APPLICATIONS "," Business Performance","Richard Wysk (The Pennsylvania State University)","iFAO-Simo: A Spatial-Simulation Based Facility Network Optimization Framework","Ming Xie, Wei Wang, Wenjun Yin, and Jin Dong (IBM China Research Laboratory)","NA"
"2414",2007,"GENERAL APPLICATIONS "," Business Services Models","Stephen Buckley (IBM)","Discrete Event Simulation Modeling of Resource Planning and Service Order Execution for Service Businesses","Young M. Lee, Lianjun An, Sugato Bagchi, Daniel Connors, Shubir Kapoor, and Kaan Katircioglu (IBM T. J. Watson Research Center) and Wei Wang and Jing Xu (IBM China Research Lab)","NA"
"2415",2007,"GENERAL APPLICATIONS "," Business Services Models","Stephen Buckley (IBM)","Simulation of Adaptive Project Management Analytics","Kaan Katircioglu, Lea A. Deleris, Sugato Bagchi, Shubir Kapoor, Richard B. Lam, and Steve Buckley (IBM T J Watson Research Center)","NA"
"2416",2007,"GENERAL APPLICATIONS "," Business Services Models","Stephen Buckley (IBM)","Agent-based Simulations of Service Policy Decisions","Richard B. Lam (IBM T J Watson Research Center)","NA"
"2417",2007,"GENERAL APPLICATIONS "," Call Centers","Eric Swenson (The Pennsylvania State University)","Using Simulation to Predict Market Behavior for Outbound Call Centers","Paulo J Freitas Filho, Geovani Ferreira Cruz, Rui Seara, and Guilherme Steinmann (Federal University of Santa Catarina)","NA"
"2418",2007,"GENERAL APPLICATIONS "," Call Centers","Eric Swenson (The Pennsylvania State University)","Partial Cross Training in Call Centers with Uncertain Arrivals and Global Service Level Agreements","Thomas R. Robbins, D. J. Medeiros, and Terry Harrison (Pennsylvania State University)","NA"
"2419",2007,"GENERAL APPLICATIONS "," Call Centers","Eric Swenson (The Pennsylvania State University)","A Model for Contact Center Analysis and Simulation","Juan M. Huerta (IBM T. J. Watson Research Center)","NA"
"2420",2007,"GENERAL APPLICATIONS "," Telecommunications","Martin Fischer (Noblis)","Modeling the Performance of Low Latency Queueing for Emergency Telecommunications","Denise M. Masi, Martin J. Fischer, and David A. Garbin (Noblis)","NA"
"2421",2007,"GENERAL APPLICATIONS "," Telecommunications","Martin Fischer (Noblis)","Using Event Simulation to Evaluate Internet Protocol Enhancements for Special Services","David A. Garbin (Noblis), Patrick McGregor (Nyquetek, Inc) and Denise M. Masi (Noblis)","NA"
"2422",2007,"GENERAL APPLICATIONS "," Telecommunications","Martin Fischer (Noblis)","J-saedes: A Java-based Simulation Software to Improve Reliability and Availability of Computer Systems and Networks","Angel A. Juan (Technical University of Catalonia), Javier Faulin (Public University of Navarre), Joan Manuel Marques (Open University of Catalonia) and Mateo Sorroche (Technical University of Catalonia)","NA"
"2423",2007,"GENERAL APPLICATIONS "," Special Topics II","Daniel Finke (The Pennsylvania State University)","Simio: A New Simulation System Based on Intelligent Objects","Claude Dennis Pegden (Simio Corp.)","NA"
"2424",2007,"GENERAL APPLICATIONS "," Special Topics II","Daniel Finke (The Pennsylvania State University)","Combining Network Reductions and Simulation to Estimate Network Reliability","Abdullah Konak (Penn State Berks)","NA"
"2425",2007,"GENERAL APPLICATIONS "," Special Topics II","Daniel Finke (The Pennsylvania State University)","Using Monte-Carlo Simulation for Automatic New Topic Identification of Search Engine Transaction Logs","Seda Ozmutlu, Huseyin Cenk Ozmutlu, and Buket Buyuk (Uludag University)","NA"
"2426",2007,"SIMULATION EDUCATION "," Panel: What I Wish They Would have Taught Me in School","Catherine Harmonosky (The Pennsylvania State University)","What I Wish They Would Have Taught Me (or That I Would Have Better Remembered!) in School","Charles R. Standridge (Grand Valley State University), Daniel A. Finke (Penn State University), Carley Jurishica (Rockwell Automation), David M. Ferrin (FDI Simulation) and Catherine M. Harmonosky (Penn State University)","NA"
"2427",2007,"SIMULATION EDUCATION "," Using Simulation to Teach Other Concepts","Catherine Harmonosky (The Pennsylvania State University)","Supporting Parametrization Of Business Games For Multiple Educational Settings","Stijn-Pieter van Houten and Alexander Verbraeck (Delft University of Technology)","NA"
"2428",2007,"SIMULATION EDUCATION "," Using Simulation to Teach Other Concepts","Catherine Harmonosky (The Pennsylvania State University)","Teaching Simulation to Business Students - Summary of 30 Years’ Experience","Ingolf Stahl (Stockholm School of Economics)","NA"
"2429",2007,"SIMULATION EDUCATION "," Using Simulation to Teach Other Concepts","Catherine Harmonosky (The Pennsylvania State University)","High-performance Computing Enables Simulations to Transform Education","Dan M. Davis (University of Southern California), Thomas D. Gottschalk (Caltech) and Laurel K. Davis (Next Generation Leaders, Inc.)","NA"
"2430",2007,"SIMULATION EDUCATION "," Education Beyond the University Walls","Christopher Ligetti (The Pennsylvania State University)","Developing and Implementing a High School Simulation Course to Provide Rigor and Relevance to the Curriculum","Beverly B. Kuch (Cuyahoga Valley Career Center)","NA"
"2431",2007,"SIMULATION EDUCATION "," Education Beyond the University Walls","Christopher Ligetti (The Pennsylvania State University)","A Simulation Course for High School Students","David Goldsman (Georgia Institute of Technology)","NA"
"2432",2007,"SIMULATION EDUCATION "," Education Beyond the University Walls","Christopher Ligetti (The Pennsylvania State University)","Beyond the University: Simulation Education on the Job","David Krahl (Imagine That, Inc.) and Peter Tag (Horizon Systems Modeling)","NA"
"2433",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Mathematical Models and Simulation for Project Portfolios Optimization","Rongzeng Cao, Wei Ding, and Bonnie Ray (IBM China Research Lab)","NA"
"2434",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Comparison of On-line Scheduling Algorithms: Quantifying the Effects of Shared Information Using a Simple Supply Chain Model","Jairo Montoya-Torres (Universidad de La Sabana) and Gloria Rodriguez-Verjan (Pontificia Universidad Javeriana)","NA"
"2435",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Castelldefels Project: Modeling and Simulation of the Computer System That Gives Support to the Virtual Campus of the Open University of Catalonia","Angel A. Juan (Technical University of Catalonia), Javier Faulin (Public University of Navarre) and Joan Manuel Marques and Pau Fonseca (Open University of Catalonia)","NA"
"2436",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Economic Assessment of Energy Systems with Simulation and Linear Programming","Fermin Mallor, Cristina Azcarate, and Rosa Blanco (Public University of Navarre)","NA"
"2437",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","A Conceptual Model to Support the Integration of Inter-organizational Healthcare Information Systems","Hongmei Chi (Florida State University) and Lang Zhao (Florida A&M University )","NA"
"2438",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Application of the Traveling Salesman Problem Heuristics to the Reallocation of Equipment in a Small-Size Bakery Aiming at Minimizing Bread Production Time","Chin Yung Shih, Anselmo R. P. Neto, and Eduardo V. G. Filho (School of Engineering of Sao Carlos)","NA"
"2439",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Modeling The Indiana Coal Rail Transportation Infrastructure","Thomas Brady (Purdue University North Central)","NA"
"2440",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Combining Latin Hypercube Designs and Discrete Event Simulation in a Study of a Surgical Unit","Christian Dehlendorff, Murat Kulahci, and Klaus Kaae Andersen (Technical University of Denmark)","NA"
"2441",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Flight Time Allocation for a Fleet of Aircraft through Reinforcement Learning","Ville Mattila (Helsinki University of Technology)","NA"
"2442",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","POD: The Structure of Simulation Software and Model Reuse","Yariv N. Marmor and David Sinreich (Technion - Israel Institute of Technology)","NA"
"2443",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Randomless as a Critical Point: Simulation Fitting Better Planning of Distribution Centers","Marcelo K. Fugihara and Alain d'Audenhove (Belge Engenharia) and Neuton T. Karassawa (Ryder Logistics)","NA"
"2444",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Comparing the Use of Discrete-Event Simulation and System Dynamics Models","Antuela A. Tako and Stewart Robinson (University of Warwick)","NA"
"2445",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","DEVS Specification and Implementation of SIMAN Blocks Using Modelica Language","Victorino Sanz, Alfonso Urquia, and Sebastian Dormido (UNED)","NA"
"2446",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","An Adaptive Metamodeling-based Method for Simulation Optimization","Maria Guadalupe Villarreal Marroquin and Mauricio Cabrera-Rios (Universidad Autonoma de Nuevo Leon)","NA"
"2447",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Simulation of the Pig Iron Transportation System in Companhia Siderurgica de Tubarao","Alain d'Audenhove and Bruno Miessa de Barros (Belge Engenharia e Sistemas)","NA"
"2448",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Visual Support for Modeling and Simulation of Cell Biological Systems","Andrea Unger, Susanne Biermann, Mathias John, Adelinde M. Uhrmacher, and Heidrun Schumann (University of Rostock)","NA"
"2449",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","A Comparison Between System Dynamics And Agent Based Modeling And Opportunities For Cross-Fertilization","Luminita Stemate and Codrin Pasca (Defence R&D Canada Valcartier) and Ivan Taylor (Defence R&D Canada)","NA"
"2450",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","Effectively Generating Random Test Data via Cellular Automata","Hongmei Chi and Edward L. Jones (Florida A&M University)","NA"
"2451",2007,"POSTER SESSION "," General Posters","Earnest Foster (General Motors)","SOA-Conform Modeling as a High-level Standard for Discrete Modeling and Simulation","Thomas Wiedemann (University of Applied Science Dresden)","NA"
"2452",2007,"CASE STUDIES "," Operations and Inventory","Christos Alexopoulos (Georgia Institute of Technology)","Arena in the Petrochemical Operations Environment","Lorraine Malherbe (Sasol Technology)","NA"
"2453",2007,"CASE STUDIES "," Operations and Inventory","Christos Alexopoulos (Georgia Institute of Technology)","Limitations in the Use of Mathematical Models to Support Investment Decisions","Mario Jorge Lima and Guilherme de Aquino Barbosa (Petrobras)","NA"
"2454",2007,"CASE STUDIES "," Operations and Inventory","Christos Alexopoulos (Georgia Institute of Technology)","A Comparison of Inventory Optimization and Discrete-Event Simulation for Supply Chain Analysis","Erin Murphy (3M Company)","NA"
"2455",2007,"CASE STUDIES "," Check-in and Check-out Simulations","Erin Murphy (3M Company)","Security Checkpoint Optimizer Simulation Tool for Passenger Screening Prototyping","Diane Wilson and Robert Pryor (Transportation Security Administration) and S. Annie So and Eric K. Roe (Northrop Grumman Corp.)","NA"
"2456",2007,"CASE STUDIES "," Check-in and Check-out Simulations","Erin Murphy (3M Company)","Checkout - Kroger's Store Front Simulator","John Osborne (The Kroger Co.) and Matthew Duffin (Visual8 Corp.)","NA"
"2457",2007,"CASE STUDIES "," Check-in and Check-out Simulations","Erin Murphy (3M Company)","Passenger Simulation Modeling to Identify Optimum Customs Staffing Levels","Gareth Coville, Vandana Patidar, Debayan Sen, Brian Nadreau, and Evert Meyer (Jacobs Consultancy)","NA"
"2458",2007,"CASE STUDIES "," Successful Simulation Strategies","Gareth Coville (Jacobs Consultancy)","Using Data Mining Tools To Build Integrated Discrete-Event Simulations","David Ames Holland and Scott C. R. Henry (Computer Sciences Corporation)","NA"
"2459",2007,"CASE STUDIES "," Successful Simulation Strategies","Gareth Coville (Jacobs Consultancy)","Tips and Tricks for Using Simulation DOE to Assess the Complex Interactions of Your Process","Marietsa Louise McCreary (3M Company)","NA"
"2460",2007,"CASE STUDIES "," Successful Simulation Strategies","Gareth Coville (Jacobs Consultancy)","Stochastic Modelling as a Decision Making Tool in an Integrated Green-Brown Fields Growth Program at the Sasol Secunda Site, South Africa","Anette Van der Merwe (Sasol)","NA"
"2461",2007,"CASE STUDIES "," Modeling Innovations and Applications I","Anette Van der Merwe (Sasol Technology)","Applying Variable Rate Processing to Queueing Simulation Models at Mimeo.com","Paul D. Babin (Mimeo.com) and Allen Greenwood (Mississippi State University)","NA"
"2462",2007,"CASE STUDIES "," Modeling Innovations and Applications I","Anette Van der Merwe (Sasol Technology)","A Simulation Case Study of Patient Flow at The University of South Alabama Medical Center","Donna Retzlaff-Roberts (University of South Alabama) and Sharon Ezelle (USA Medical Center)","NA"
"2463",2007,"CASE STUDIES "," Modeling Innovations and Applications I","Anette Van der Merwe (Sasol Technology)","How Dynamic Disease Modeling Supports Strategic Marketing at Pharmaceutical & Biotech Companies","Radhesh B Nair (PA Consulting Group)","NA"
"2464",2007,"CASE STUDIES "," Modeling Innovations and Applications II","Radhesh Nair (PA Consulting Group)","A Financial Simulation of an International Business Graduate School","John Stocker (FLAG International, LLC) and Conrado Gempesaw and Kliment Nachkov (University of Delaware)","NA"
"2465",2007,"CASE STUDIES "," Modeling Innovations and Applications II","Radhesh Nair (PA Consulting Group)","Manufacturing and Distribution Integrated Solution at Votorantim Cimentos","Alain d'Audenhove (Belge Engenharia) and Rodrigo Cintra Villas Boas (Votorantim Cimentos)","NA"
"2466",2007,"PH.D. COLLOQUIUM "," Ph.D. Colloquium Student Presentations","Simon Taylor (Brunel University)","The Database Monte Carlo Approach to Obtaining Effective Control Variates","Tarik Borogovac (Boston University)","NA"
"2467",2007,"PH.D. COLLOQUIUM "," Ph.D. Colloquium Student Presentations","Simon Taylor (Brunel University)","Simulation of Contact Centers","Eric Buist and Pierre L'Ecuyer (Université de Montréal)","NA"
